event_id,team,team_id,score_for,score_against,win,draw,loose,local
11937189,Rosario Central,3217,4,2,True,False,False,Home
11937189,Sarmiento,42338,2,4,False,False,True,Away
11937187,San Lorenzo,3201,1,1,False,True,False,Home
11937187,Huracán,7629,1,1,False,True,False,Away
11937190,Racing,3215,3,0,True,False,False,Home
11937190,Godoy Cruz,6074,0,3,False,False,True,Away
11937183,Banfield,3219,1,1,False,True,False,Home
11937183,Atlético Tucumán,36833,1,1,False,True,False,Away
11937191,River,3211,2,2,False,True,False,Home
11937191,Lanús,3218,2,2,False,True,False,Away
11937180,Central Córdoba,65676,0,2,False,False,True,Home
11937180,Platense,36837,2,0,True,False,False,Away
11937188,Estudiantes,3206,0,0,False,True,False,Home
11937188,Unión de Santa Fé,3204,0,0,False,True,False,Away
11937182,Def y Justicia,36839,2,2,False,True,False,Home
11937182,Boca Juniors,3202,2,2,False,True,False,Away
11937181,Vélez Sarsfield,3208,3,0,True,False,False,Home
11937181,Talleres,3210,0,3,False,False,True,Away
11937170,Godoy Cruz,6074,1,1,False,True,False,Home
11937170,Rosario Central,3217,1,1,False,True,False,Away
11937166,Argentinos Jrs.,3216,2,1,True,False,False,Home
11937166,Central Córdoba,65676,1,2,False,False,True,Away
11937174,Gimnasia,3205,2,1,True,False,False,Home
11937174,Barracas,65668,1,2,False,False,True,Away
11937176,Independiente,3209,2,1,True,False,False,Home
11937176,Banfield,3219,1,2,False,False,True,Away
11937168,Dep. Riestra,189723,2,0,True,False,False,Home
11937168,River,3211,0,2,False,False,True,Away
11937171,Sarmiento,42338,2,0,True,False,False,Home
11937171,Estudiantes,3206,0,2,False,False,True,Away
11937167,Tigre,7628,1,1,False,True,False,Home
11937167,Belgrano,3203,1,1,False,True,False,Away
11937169,Lanús,3218,2,0,True,False,False,Home
11937169,Racing,3215,0,2,False,False,True,Away
11937175,Newell's,3212,0,2,False,False,True,Home
11937175,Instituto,4937,2,0,True,False,False,Away
11937178,Boca Juniors,3202,1,0,True,False,False,Home
11937178,Vélez Sarsfield,3208,0,1,False,False,True,Away
11937179,Talleres,3210,2,1,True,False,False,Home
11937179,Platense,36837,1,2,False,False,True,Away
11937172,Unión de Santa Fé,3204,2,1,True,False,False,Home
11937172,San Lorenzo,3201,1,2,False,False,True,Away
11937173,Huracán,7629,1,0,True,False,False,Home
11937173,Ind. Rivadavia,36842,0,1,False,False,True,Away
11937177,Atlético Tucumán,36833,1,1,False,True,False,Home
11937177,Def y Justicia,36839,1,1,False,True,False,Away
11937163,Racing,3215,1,0,True,False,False,Home
11937163,Dep. Riestra,189723,0,1,False,False,True,Away
11937165,Belgrano,3203,1,0,True,False,False,Home
11937165,Argentinos Jrs.,3216,0,1,False,False,True,Away
11937154,Vélez Sarsfield,3208,1,1,False,True,False,Home
11937154,Atlético Tucumán,36833,1,1,False,True,False,Away
11937153,Platense,36837,1,0,True,False,False,Home
11937153,Boca Juniors,3202,0,1,False,False,True,Away
11937152,Central Córdoba,65676,2,4,False,False,True,Home
11937152,Talleres,3210,4,2,True,False,False,Away
11937162,Rosario Central,3217,1,1,False,True,False,Home
11937162,Lanús,3218,1,1,False,True,False,Away
11937157,Instituto,4937,2,1,True,False,False,Home
11937157,Gimnasia,3205,1,2,False,False,True,Away
11937164,River,3211,3,1,True,False,False,Home
11937164,Tigre,7628,1,3,False,False,True,Away
11937160,San Lorenzo,3201,0,1,False,False,True,Home
11937160,Sarmiento,42338,1,0,True,False,False,Away
11937155,Def y Justicia,36839,0,0,False,True,False,Home
11937155,Independiente,3209,0,0,False,True,False,Away
11937161,Estudiantes,3206,1,1,False,True,False,Home
11937161,Godoy Cruz,6074,1,1,False,True,False,Away
11937158,Barracas,65668,0,2,False,False,True,Home
11937158,Huracán,7629,2,0,True,False,False,Away
11937156,Banfield,3219,2,0,True,False,False,Home
11937156,Newell's,3212,0,2,False,False,True,Away
11937159,Ind. Rivadavia,36842,0,1,False,False,True,Home
11937159,Unión de Santa Fé,3204,1,0,True,False,False,Away
11937141,Dep. Riestra,189723,0,2,False,False,True,Home
11937141,Rosario Central,3217,2,0,True,False,False,Away
11937140,Tigre,7628,0,4,False,False,True,Home
11937140,Racing,3215,4,0,True,False,False,Away
11937138,Belgrano,3203,2,1,True,False,False,Home
11937138,Central Córdoba,65676,1,2,False,False,True,Away
11937142,Lanús,3218,2,1,True,False,False,Home
11937142,Estudiantes,3206,1,2,False,False,True,Away
11937139,Argentinos Jrs.,3216,1,0,True,False,False,Home
11937139,River,3211,0,1,False,False,True,Away
11937148,Newell's,3212,1,0,True,False,False,Home
11937148,Def y Justicia,36839,0,1,False,False,True,Away
11937151,Boca Juniors,3202,0,0,False,True,False,Home
11937151,Talleres,3210,0,0,False,True,False,Away
11937146,Huracán,7629,1,0,True,False,False,Home
11937146,Instituto,4937,0,1,False,False,True,Away
11937144,Sarmiento,42338,0,1,False,False,True,Home
11937144,Ind. Rivadavia,36842,1,0,True,False,False,Away
11937147,Gimnasia,3205,3,0,True,False,False,Home
11937147,Banfield,3219,0,3,False,False,True,Away
11937149,Independiente,3209,1,1,False,True,False,Home
11937149,Vélez Sarsfield,3208,1,1,False,True,False,Away
11937145,Unión de Santa Fé,3204,2,0,True,False,False,Home
11937145,Barracas,65668,0,2,False,False,True,Away
11937150,Atlético Tucumán,36833,1,1,False,True,False,Home
11937150,Platense,36837,1,1,False,True,False,Away
11937132,Ind. Rivadavia,36842,0,0,False,True,False,Home
11937132,Godoy Cruz,6074,0,0,False,True,False,Away
12317909,River,3211,3,0,True,False,False,Home
12317909,Belgrano,3203,0,3,False,False,True,Away
11937128,Def y Justicia,36839,1,1,False,True,False,Home
11937128,Gimnasia,3205,1,1,False,True,False,Away
11937130,Instituto,4937,1,1,False,True,False,Home
11937130,Unión de Santa Fé,3204,1,1,False,True,False,Away
11937131,Barracas,65668,1,1,False,True,False,Home
11937131,Sarmiento,42338,1,1,False,True,False,Away
11937126,Platense,36837,0,0,False,True,False,Home
11937126,Independiente,3209,0,0,False,True,False,Away
11937129,Banfield,3219,1,1,False,True,False,Home
11937129,Huracán,7629,1,1,False,True,False,Away
11937125,Talleres,3210,2,0,True,False,False,Home
11937125,Atlético Tucumán,36833,0,2,False,False,True,Away
11937124,Central Córdoba,65676,2,4,False,False,True,Home
11937124,Boca Juniors,3202,4,2,True,False,False,Away
11937134,Estudiantes,3206,2,0,True,False,False,Home
11937134,Dep. Riestra,189723,0,2,False,False,True,Away
11937133,San Lorenzo,3201,1,1,False,True,False,Home
11937133,Lanús,3218,1,1,False,True,False,Away
11937136,Racing,3215,3,0,True,False,False,Home
11937136,Argentinos Jrs.,3216,0,3,False,False,True,Away
11937135,Rosario Central,3217,1,1,False,True,False,Home
11937135,Tigre,7628,1,1,False,True,False,Away
11937127,Vélez Sarsfield,3208,1,0,True,False,False,Home
11937127,Newell's,3212,0,1,False,False,True,Away
11937117,Sarmiento,42338,1,2,False,False,True,Home
11937117,Instituto,4937,2,1,True,False,False,Away
11937112,Argentinos Jrs.,3216,3,2,True,False,False,Home
11937112,Rosario Central,3217,2,3,False,False,True,Away
11937121,Newell's,3212,2,0,True,False,False,Home
11937121,Platense,36837,0,2,False,False,True,Away
11937119,Huracán,7629,3,1,True,False,False,Home
11937119,Def y Justicia,36839,1,3,False,False,True,Away
11937116,Godoy Cruz,6074,0,1,False,False,True,Home
11937116,Barracas,65668,1,0,True,False,False,Away
11937122,Independiente,3209,1,3,False,False,True,Home
11937122,Talleres,3210,3,1,True,False,False,Away
11937110,River,3211,3,0,True,False,False,Home
11937110,Central Córdoba,65676,0,3,False,False,True,Away
11937114,Dep. Riestra,189723,1,0,True,False,False,Home
11937114,San Lorenzo,3201,0,1,False,False,True,Away
11937113,Tigre,7628,0,1,False,False,True,Home
11937113,Estudiantes,3206,1,0,True,False,False,Away
11937111,Belgrano,3203,4,4,False,True,False,Home
11937111,Racing,3215,4,4,False,True,False,Away
11937115,Lanús,3218,0,2,False,False,True,Home
11937115,Ind. Rivadavia,36842,2,0,True,False,False,Away
11937123,Atlético Tucumán,36833,1,0,True,False,False,Home
11937123,Boca Juniors,3202,0,1,False,False,True,Away
11937120,Gimnasia,3205,3,1,True,False,False,Home
11937120,Vélez Sarsfield,3208,1,3,False,False,True,Away
11937118,Unión de Santa Fé,3204,1,0,True,False,False,Home
11937118,Banfield,3219,0,1,False,False,True,Away
