team,stat,value,class,table,target,league,country,season
vs. Talleres,3.º cent.,119.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Tigre,3.º cent.,115.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Unión,3.º cent.,103.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,3.º cent.,95.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Arg Juniors,3.º ataq.,30.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,3.º ataq.,22.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Banfield,3.º ataq.,23.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Barracas Central,3.º ataq.,60.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Belgrano,3.º ataq.,24.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Boca Juniors,3.º ataq.,26.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,3.º ataq.,26.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Defensa y Just,3.º ataq.,33.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,3.º ataq.,26.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Estudiantes,3.º ataq.,31.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,3.º ataq.,7.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Godoy Cruz,3.º ataq.,23.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Huracán,3.º ataq.,36.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Independiente,3.º ataq.,24.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,3.º ataq.,27.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Instituto,3.º ataq.,17.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Lanús,3.º ataq.,31.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Newell's OB,3.º ataq.,35.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Platense,3.º ataq.,30.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Racing Club,3.º ataq.,18.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. River Plate,3.º ataq.,32.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Rosario Central,3.º ataq.,35.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. San Lorenzo,3.º ataq.,33.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Sarmiento,3.º ataq.,27.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Talleres,3.º ataq.,34.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Tigre,3.º ataq.,27.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Unión,3.º ataq.,17.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,3.º ataq.,33.0,Derribos,Defense,Against,Liga Profesional,Argentina,2024
vs. Arg Juniors,Tkl,126.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,Tkl,94.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Banfield,Tkl,103.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Barracas Central,Tkl,173.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Belgrano,Tkl,109.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Boca Juniors,Tkl,101.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,Tkl,142.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Defensa y Just,Tkl,112.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,Tkl,99.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Estudiantes,Tkl,97.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,Tkl,113.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Godoy Cruz,Tkl,89.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Huracán,Tkl,89.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Independiente,Tkl,118.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,Tkl,110.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Instituto,Tkl,99.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Lanús,Tkl,117.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Newell's OB,Tkl,108.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Platense,Tkl,88.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Racing Club,Tkl,89.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. River Plate,Tkl,151.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Rosario Central,Tkl,108.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. San Lorenzo,Tkl,118.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Sarmiento,Tkl,86.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Talleres,Tkl,113.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Tigre,Tkl,132.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Unión,Tkl,109.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,Tkl,112.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Arg Juniors,Att,250.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,Att,170.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Banfield,Att,214.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Barracas Central,Att,293.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Belgrano,Att,208.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Boca Juniors,Att,217.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,Att,276.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Defensa y Just,Att,208.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,Att,185.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Estudiantes,Att,226.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,Att,220.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Godoy Cruz,Att,171.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Huracán,Att,158.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Independiente,Att,236.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,Att,209.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Instituto,Att,164.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Lanús,Att,229.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Newell's OB,Att,197.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Platense,Att,176.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Racing Club,Att,207.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. River Plate,Att,273.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Rosario Central,Att,206.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. San Lorenzo,Att,217.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Sarmiento,Att,144.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Talleres,Att,217.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Tigre,Att,271.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Unión,Att,209.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,Att,216.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Arg Juniors,Tkl%,50.4,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,Tkl%,55.3,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Banfield,Tkl%,48.1,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Barracas Central,Tkl%,59.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Belgrano,Tkl%,52.4,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Boca Juniors,Tkl%,46.5,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,Tkl%,51.4,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Defensa y Just,Tkl%,53.8,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,Tkl%,53.5,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Estudiantes,Tkl%,42.9,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,Tkl%,51.4,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Godoy Cruz,Tkl%,52.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Huracán,Tkl%,56.3,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Independiente,Tkl%,50.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,Tkl%,52.6,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Instituto,Tkl%,60.4,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Lanús,Tkl%,51.1,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Newell's OB,Tkl%,54.8,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Platense,Tkl%,50.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Racing Club,Tkl%,43.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. River Plate,Tkl%,55.3,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Rosario Central,Tkl%,52.4,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. San Lorenzo,Tkl%,54.4,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Sarmiento,Tkl%,59.7,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Talleres,Tkl%,52.1,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Tigre,Tkl%,48.7,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Unión,Tkl%,52.2,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,Tkl%,51.9,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Arg Juniors,Pérdida,124.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,Pérdida,76.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Banfield,Pérdida,111.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Barracas Central,Pérdida,120.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Belgrano,Pérdida,99.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Boca Juniors,Pérdida,116.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,Pérdida,134.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Defensa y Just,Pérdida,96.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,Pérdida,86.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Estudiantes,Pérdida,129.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,Pérdida,107.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Godoy Cruz,Pérdida,82.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Huracán,Pérdida,69.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Independiente,Pérdida,118.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,Pérdida,99.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Instituto,Pérdida,65.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Lanús,Pérdida,112.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Newell's OB,Pérdida,89.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Platense,Pérdida,88.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Racing Club,Pérdida,118.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. River Plate,Pérdida,122.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Rosario Central,Pérdida,98.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. San Lorenzo,Pérdida,99.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Sarmiento,Pérdida,58.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Talleres,Pérdida,104.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Tigre,Pérdida,139.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Unión,Pérdida,100.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,Pérdida,104.0,Desafíos,Defense,Against,Liga Profesional,Argentina,2024
vs. Arg Juniors,Bloqueos,159.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,Bloqueos,168.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Banfield,Bloqueos,107.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Barracas Central,Bloqueos,169.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Belgrano,Bloqueos,135.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Boca Juniors,Bloqueos,136.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,Bloqueos,169.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Defensa y Just,Bloqueos,153.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,Bloqueos,128.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Estudiantes,Bloqueos,159.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,Bloqueos,128.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Godoy Cruz,Bloqueos,136.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Huracán,Bloqueos,128.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Independiente,Bloqueos,152.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,Bloqueos,154.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Instituto,Bloqueos,130.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Lanús,Bloqueos,129.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Newell's OB,Bloqueos,133.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Platense,Bloqueos,131.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Racing Club,Bloqueos,140.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. River Plate,Bloqueos,153.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Rosario Central,Bloqueos,127.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. San Lorenzo,Bloqueos,142.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Sarmiento,Bloqueos,123.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Talleres,Bloqueos,123.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Tigre,Bloqueos,131.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Unión,Bloqueos,144.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,Bloqueos,165.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Arg Juniors,Dis,47.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,Dis,38.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Banfield,Dis,21.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Barracas Central,Dis,31.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Belgrano,Dis,30.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Boca Juniors,Dis,37.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,Dis,38.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Defensa y Just,Dis,42.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,Dis,39.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Estudiantes,Dis,43.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,Dis,26.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Godoy Cruz,Dis,37.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Huracán,Dis,29.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Independiente,Dis,29.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,Dis,34.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Instituto,Dis,35.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Lanús,Dis,28.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Newell's OB,Dis,28.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Platense,Dis,31.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Racing Club,Dis,40.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. River Plate,Dis,37.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Rosario Central,Dis,25.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. San Lorenzo,Dis,39.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Sarmiento,Dis,26.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Talleres,Dis,41.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Tigre,Dis,23.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Unión,Dis,38.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,Dis,36.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Arg Juniors,Pases,112.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,Pases,130.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Banfield,Pases,86.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Barracas Central,Pases,138.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Belgrano,Pases,105.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Boca Juniors,Pases,99.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,Pases,131.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Defensa y Just,Pases,111.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,Pases,89.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Estudiantes,Pases,116.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,Pases,102.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Godoy Cruz,Pases,99.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Huracán,Pases,99.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Independiente,Pases,123.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,Pases,120.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Instituto,Pases,95.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Lanús,Pases,101.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Newell's OB,Pases,105.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Platense,Pases,100.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Racing Club,Pases,100.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. River Plate,Pases,116.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Rosario Central,Pases,102.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. San Lorenzo,Pases,103.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Sarmiento,Pases,97.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Talleres,Pases,82.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Tigre,Pases,108.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Unión,Pases,106.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,Pases,129.0,Bloqueos,Defense,Against,Liga Profesional,Argentina,2024
vs. Arg Juniors,Int,143.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,Int,119.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Banfield,Int,113.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Barracas Central,Int,119.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Belgrano,Int,113.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Boca Juniors,Int,103.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,Int,130.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Defensa y Just,Int,85.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,Int,106.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Estudiantes,Int,122.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,Int,117.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Godoy Cruz,Int,108.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Huracán,Int,92.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Independiente,Int,110.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,Int,100.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Instituto,Int,118.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Lanús,Int,118.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Newell's OB,Int,114.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Platense,Int,82.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Racing Club,Int,110.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. River Plate,Int,131.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Rosario Central,Int,123.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. San Lorenzo,Int,117.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Sarmiento,Int,80.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Talleres,Int,149.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Tigre,Int,100.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Unión,Int,98.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,Int,113.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Arg Juniors,Tkl+Int,432.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,Tkl+Int,327.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Banfield,Tkl+Int,331.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Barracas Central,Tkl+Int,453.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Belgrano,Tkl+Int,342.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Boca Juniors,Tkl+Int,298.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,Tkl+Int,401.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Defensa y Just,Tkl+Int,306.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,Tkl+Int,321.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Estudiantes,Tkl+Int,332.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,Tkl+Int,333.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Godoy Cruz,Tkl+Int,299.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Huracán,Tkl+Int,304.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Independiente,Tkl+Int,361.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,Tkl+Int,317.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Instituto,Tkl+Int,309.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Lanús,Tkl+Int,360.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Newell's OB,Tkl+Int,333.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Platense,Tkl+Int,278.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Racing Club,Tkl+Int,294.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. River Plate,Tkl+Int,408.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Rosario Central,Tkl+Int,350.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. San Lorenzo,Tkl+Int,340.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Sarmiento,Tkl+Int,273.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Talleres,Tkl+Int,390.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Tigre,Tkl+Int,364.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Unión,Tkl+Int,314.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,Tkl+Int,345.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Arg Juniors,Desp.,418.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,Desp.,265.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Banfield,Desp.,257.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Barracas Central,Desp.,216.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Belgrano,Desp.,272.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Boca Juniors,Desp.,261.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,Desp.,231.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Defensa y Just,Desp.,254.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,Desp.,300.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Estudiantes,Desp.,326.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,Desp.,325.0,,Defense,Against,Liga Profesional,Argentina,2024
vs. Godoy Cruz,Desp.,270.0,,Defense,Against,Liga Profesional,Argentina,2024
