team,stat,value,class,target,table,league,country,season
vs. Lanús,npxG,13.8,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Newell's OB,npxG,9.6,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Platense,npxG,8.8,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Racing Club,npxG,8.6,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. River Plate,npxG,8.9,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Rosario Central,npxG,8.1,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. San Lorenzo,npxG,7.9,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Sarmiento,npxG,12.4,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Talleres,npxG,7.7,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Tigre,npxG,12.1,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Unión,npxG,7.4,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,npxG,10.3,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Arg Juniors,xAG,5.6,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,xAG,6.0,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Banfield,xAG,10.8,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Barracas Central,xAG,12.6,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Belgrano,xAG,6.8,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Boca Juniors,xAG,9.3,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,xAG,11.0,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Defensa y Just,xAG,9.6,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,xAG,9.7,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Estudiantes,xAG,8.2,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,xAG,8.3,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Godoy Cruz,xAG,8.3,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Huracán,xAG,6.9,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Independiente,xAG,6.6,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,xAG,6.3,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Instituto,xAG,6.5,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Lanús,xAG,9.1,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Newell's OB,xAG,6.8,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Platense,xAG,6.0,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Racing Club,xAG,6.1,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. River Plate,xAG,7.9,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Rosario Central,xAG,6.0,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. San Lorenzo,xAG,5.8,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Sarmiento,xAG,10.4,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Talleres,xAG,6.5,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Tigre,xAG,9.8,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Unión,xAG,5.5,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,xAG,8.6,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Arg Juniors,npxG+xAG,12.7,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,npxG+xAG,13.9,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Banfield,npxG+xAG,26.2,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Barracas Central,npxG+xAG,28.6,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Belgrano,npxG+xAG,17.2,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Boca Juniors,npxG+xAG,22.1,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,npxG+xAG,26.2,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Defensa y Just,npxG+xAG,22.3,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,npxG+xAG,21.0,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Estudiantes,npxG+xAG,18.8,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,npxG+xAG,19.5,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Godoy Cruz,npxG+xAG,18.3,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Huracán,npxG+xAG,15.7,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Independiente,npxG+xAG,15.1,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,npxG+xAG,14.6,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Instituto,npxG+xAG,14.6,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Lanús,npxG+xAG,22.9,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Newell's OB,npxG+xAG,16.4,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Platense,npxG+xAG,14.8,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Racing Club,npxG+xAG,14.7,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. River Plate,npxG+xAG,16.8,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Rosario Central,npxG+xAG,14.1,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. San Lorenzo,npxG+xAG,13.7,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Sarmiento,npxG+xAG,22.8,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Talleres,npxG+xAG,14.1,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Tigre,npxG+xAG,21.9,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Unión,npxG+xAG,13.0,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,npxG+xAG,18.9,Expectativa,Against,Standard,Liga Profesional,Argentina,2024
vs. Arg Juniors,PrgC,139.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,PrgC,136.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Banfield,PrgC,112.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Barracas Central,PrgC,175.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Belgrano,PrgC,158.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Boca Juniors,PrgC,147.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,PrgC,118.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Defensa y Just,PrgC,168.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,PrgC,201.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Estudiantes,PrgC,132.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,PrgC,150.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Godoy Cruz,PrgC,128.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Huracán,PrgC,157.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Independiente,PrgC,157.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,PrgC,136.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Instituto,PrgC,140.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Lanús,PrgC,180.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Newell's OB,PrgC,122.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Platense,PrgC,155.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Racing Club,PrgC,130.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. River Plate,PrgC,117.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Rosario Central,PrgC,110.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. San Lorenzo,PrgC,87.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Sarmiento,PrgC,206.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Talleres,PrgC,140.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Tigre,PrgC,151.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Unión,PrgC,132.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,PrgC,115.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Arg Juniors,PrgP,265.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,PrgP,355.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Banfield,PrgP,376.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Barracas Central,PrgP,450.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Belgrano,PrgP,405.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Boca Juniors,PrgP,362.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,PrgP,341.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Defensa y Just,PrgP,436.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,PrgP,568.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Estudiantes,PrgP,300.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,PrgP,413.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Godoy Cruz,PrgP,377.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Huracán,PrgP,437.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Independiente,PrgP,340.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,PrgP,435.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Instituto,PrgP,390.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Lanús,PrgP,491.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Newell's OB,PrgP,324.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Platense,PrgP,401.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Racing Club,PrgP,310.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. River Plate,PrgP,259.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Rosario Central,PrgP,375.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. San Lorenzo,PrgP,258.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Sarmiento,PrgP,563.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Talleres,PrgP,379.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Tigre,PrgP,382.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Unión,PrgP,403.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,PrgP,344.0,Progresión,Against,Standard,Liga Profesional,Argentina,2024
vs. Arg Juniors,Gls.,1.27,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,Gls.,0.64,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Banfield,Gls.,1.36,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Barracas Central,Gls.,1.0,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Belgrano,Gls.,1.27,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Boca Juniors,Gls.,0.91,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,Gls.,2.0,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Defensa y Just,Gls.,1.36,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,Gls.,1.27,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Estudiantes,Gls.,1.0,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,Gls.,1.18,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Godoy Cruz,Gls.,0.9,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Huracán,Gls.,0.36,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Independiente,Gls.,0.82,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,Gls.,0.64,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Instituto,Gls.,0.64,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Lanús,Gls.,1.45,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Newell's OB,Gls.,1.09,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Platense,Gls.,1.0,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Racing Club,Gls.,0.82,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. River Plate,Gls.,0.91,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Rosario Central,Gls.,1.0,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. San Lorenzo,Gls.,1.1,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Sarmiento,Gls.,0.82,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Talleres,Gls.,1.0,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Tigre,Gls.,1.55,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Unión,Gls.,0.45,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,Gls.,0.73,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Arg Juniors,Ast,0.55,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,Ast,0.36,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Banfield,Ast,0.82,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Barracas Central,Ast,0.73,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Belgrano,Ast,0.55,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Boca Juniors,Ast,0.45,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,Ast,1.36,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Defensa y Just,Ast,0.82,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,Ast,1.0,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Estudiantes,Ast,0.82,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,Ast,0.82,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Godoy Cruz,Ast,0.6,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Huracán,Ast,0.18,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Independiente,Ast,0.45,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,Ast,0.55,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Instituto,Ast,0.27,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Lanús,Ast,1.0,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Newell's OB,Ast,0.73,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Platense,Ast,0.82,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Racing Club,Ast,0.64,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. River Plate,Ast,0.73,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Rosario Central,Ast,0.73,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. San Lorenzo,Ast,0.7,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Sarmiento,Ast,0.73,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Talleres,Ast,0.73,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Tigre,Ast,0.91,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Unión,Ast,0.27,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,Ast,0.64,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Arg Juniors,G+A,1.82,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,G+A,1.0,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Banfield,G+A,2.18,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Barracas Central,G+A,1.73,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Belgrano,G+A,1.82,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Boca Juniors,G+A,1.36,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,G+A,3.36,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Defensa y Just,G+A,2.18,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,G+A,2.27,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Estudiantes,G+A,1.82,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,G+A,2.0,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Godoy Cruz,G+A,1.5,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Huracán,G+A,0.55,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Independiente,G+A,1.27,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,G+A,1.18,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Instituto,G+A,0.91,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Lanús,G+A,2.45,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Newell's OB,G+A,1.82,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Platense,G+A,1.82,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Racing Club,G+A,1.45,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. River Plate,G+A,1.64,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Rosario Central,G+A,1.73,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. San Lorenzo,G+A,1.8,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Sarmiento,G+A,1.55,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Talleres,G+A,1.73,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Tigre,G+A,2.45,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Unión,G+A,0.73,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,G+A,1.36,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Arg Juniors,G-TP,1.09,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,G-TP,0.55,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Banfield,G-TP,1.27,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Barracas Central,G-TP,0.73,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Belgrano,G-TP,1.09,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Boca Juniors,G-TP,0.73,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,G-TP,2.0,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Defensa y Just,G-TP,1.18,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,G-TP,1.18,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Estudiantes,G-TP,0.91,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,G-TP,1.09,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Godoy Cruz,G-TP,0.9,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Huracán,G-TP,0.36,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Independiente,G-TP,0.73,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,G-TP,0.55,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Instituto,G-TP,0.45,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Lanús,G-TP,1.36,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Newell's OB,G-TP,1.0,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Platense,G-TP,1.0,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Racing Club,G-TP,0.82,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. River Plate,G-TP,0.73,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Rosario Central,G-TP,0.82,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. San Lorenzo,G-TP,1.1,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Sarmiento,G-TP,0.82,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Talleres,G-TP,0.91,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Tigre,G-TP,1.27,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Unión,G-TP,0.45,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,G-TP,0.73,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Arg Juniors,G+A-TP,1.64,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,G+A-TP,0.91,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Banfield,G+A-TP,2.09,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Barracas Central,G+A-TP,1.45,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Belgrano,G+A-TP,1.64,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Boca Juniors,G+A-TP,1.18,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,G+A-TP,3.36,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Defensa y Just,G+A-TP,2.0,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,G+A-TP,2.18,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Estudiantes,G+A-TP,1.73,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,G+A-TP,1.91,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Godoy Cruz,G+A-TP,1.5,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Huracán,G+A-TP,0.55,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Independiente,G+A-TP,1.18,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,G+A-TP,1.09,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Instituto,G+A-TP,0.73,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Lanús,G+A-TP,2.36,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Newell's OB,G+A-TP,1.73,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Platense,G+A-TP,1.82,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Racing Club,G+A-TP,1.45,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. River Plate,G+A-TP,1.45,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Rosario Central,G+A-TP,1.55,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. San Lorenzo,G+A-TP,1.8,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Sarmiento,G+A-TP,1.55,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Talleres,G+A-TP,1.64,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Tigre,G+A-TP,2.18,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Unión,G+A-TP,0.73,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,G+A-TP,1.36,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Arg Juniors,xG,0.79,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,xG,0.86,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Banfield,xG,1.51,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Barracas Central,xG,1.66,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Belgrano,xG,1.09,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Boca Juniors,xG,1.38,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,xG,1.38,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Defensa y Just,xG,1.37,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,xG,1.1,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Estudiantes,xG,1.03,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,xG,1.16,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Godoy Cruz,xG,1.0,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Huracán,xG,0.81,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
vs. Independiente,xG,0.91,Por 90 Minutos,Against,Standard,Liga Profesional,Argentina,2024
